Code,Area_name,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
E09000029,Sutton,701.6509434,2020,2020/12/3,S,F,595000,SM68SU,E09000029,{BC8936BB-E897-0E2C-E053-6C04A8C0DBF4},18540818,848,5,11,64,76,England and Wales: 1900-1929
E09000015,Harrow,1024.390244,2020,2020/12/27,S,F,210000,HA74QH,E09000015,{BC8936BB-C473-0E2C-E053-6C04A8C0DBF4},17367555,205,8,11,57,76,England and Wales: 1930-1949
E09000017,Hillingdon,1027.173913,2020,2020/12/1,T,F,94500,UB32DR,E09000017,{BC8936BB-C7E7-0E2C-E053-6C04A8C0DBF4},17530994,92,5,12,69,86,England and Wales: 1930-1949
E09000008,Croydon,1061.946903,2020,2020/12/21,F,L,120000,SE255JU,E09000008,{BC8936BB-E9B6-0E2C-E053-6C04A8C0DBF4},16731032,113,5,11,68,78,England and Wales: 1900-1929
E09000004,Bexley,1267.564827,2020,2020/12/11,F,L,87500,DA14FB,E09000004,{BA558B33-0293-76EF-E053-6B04A8C0B4B7},16308923,69.03,,11,79,80,NO DATA!
E09000011,Greenwich,1428.571429,2020,2020/12/11,F,L,100000,SE182AF,E09000011,{BC8936BC-059A-0E2C-E053-6C04A8C0DBF4},16949644,70,,11,84,84,NO DATA!
E09000025,Newham,1467.640321,2020,2020/12/16,F,L,102500,E162FS,E09000025,{BC8936BC-052D-0E2C-E053-6C04A8C0DBF4},18198020,69.84,,11,78,78,NO DATA!
E09000004,Bexley,1493.055556,2020,2020/12/22,T,F,215000,DA176DZ,E09000004,{BC8936BB-9FD8-0E2C-E053-6C04A8C0DBF4},16271317,144,5,11,48,77,England and Wales: 1900-1929
E09000016,Havering,1500,2020,2020/12/16,F,L,144000,RM53UH,E09000016,{BC8936BB-3A56-0E2C-E053-6C04A8C0DBF4},17431289,96,4,11,76,77,England and Wales: 1991-1995
E09000004,Bexley,1500,2020,2020/12/4,F,L,112500,DA81GL,E09000004,{BC8936BB-E8F1-0E2C-E053-6C04A8C0DBF4},16278038,75,3,11,81,83,England and Wales: 2007 onwards
E09000016,Havering,1507.692308,2020,2020/12/18,F,L,98000,RM11AF,E09000016,{BC8936BB-3961-0E2C-E053-6C04A8C0DBF4},17463495,65,,11,84,84,NO DATA!
E09000023,Lewisham,1728.624535,2020,2020/12/7,F,L,465000,SE232DA,E09000023,{BC8936BC-037D-0E2C-E053-6C04A8C0DBF4},18037681,269,3,11,43,58,England and Wales: 1900-1929
